Date,Source,Quote,
10/21/2016, Elijah  ," In the contest between Elijah and the prophets of Baal to see whose God was the real article, Elijah won the first round hands down. Starting out early in the morning on Mt. Carmel, the prophets of Baal pulled out all the stops to get their candidate to set fire to the sacrificial offering. They danced around the altar till their feet were sore. They made themselves hoarse shouting instructions and encouragement at the sky. They jabbed at themselves with knives thinking that the sight of blood would start things moving if anything would, but they might as well have saved themselves the trouble.Although it was like beating a dead horse, Elijah couldn't resist getting in a few digs. ""Maybe Baal's flown to Bermuda for the weekend,"" he said. ""Maybe he's taking a nap."" The prophets whipped themselves into greater and greater frenzies under his goading, but by mid-afternoon the sacrificial offering had begun to smell a little high, and there was still no sign of fire from above. Then it was Elijah's turn to show what Yahweh could do.He was like a magician getting ready to pull a rabbit out of a hat. First he had a trench dug around the altar and filled with water. Then he got a bucket brigade going to give the offering a good dousing too. Then as soon as they'd finished, he got them to do it again for good measure. By the time they'd finished a third go-round, the whole place was awash, and Elijah looked as if he'd just finished swimming the Channel. He then gave Yahweh the word to show his stuff and jumped back just in time.Lightning flashed. The water in the trench fizzed like fat on a hot griddle. Nothing was left of the offering but a pile of ashes and a smell like the Fourth of July. The onlookers were beside themselves with enthusiasm and, at a signal from Elijah, demolished the losing team down to the last prophet. Nobody could say whose victory had been greater, Yahweh's or Elijah's.But the sequel to the event seems to have made this clear. Queen Jezebel was determined to get even with Elijah for what he had done to her spiritual advisers, and to save his skin he went and hid out on Mt. Horeb. Again he gave Yahweh the word, not because he wanted anything set on fire this time, but just to keep his hand in.Again the lightning flashed, and after that a wind came up that almost blew Elijah off his feet, and after that the earth gave such a shake that it almost knocked him silly. But there wasn't so much as a peep out of Yahweh, and Elijah stood there like a ringmaster when the lion won't jump through the hoop.Only when the fireworks were finished and a terrible hush fell over the mountain did Elijah hear something, and what he heard was so much like silence that it was only through the ear of faith that he knew it was Yahweh. Nonetheless, the message came through loud and clear: that there was no longer any question who had been the star at Mt. Carmel and that not even Elijah could make the Lord God of Hosts jump through a hoop like a lion or pop out like a rabbit from a hat.1 Kings 18-19 ~originally published in Peculiar Treasures and later in Beyond Words  ", quote-elijah  
10/20/2016, Elisha  ," It was a hot day as the prophet Elisha made his way up to Bethel where he had business to attend to. Pausing near a camping ground for a bit of shade, he was mopping his bald scalp with a corner of his prayer shawl when a Boy Scout troop broke ranks and surrounded him. They threw bottle caps at him, and they made rude gestures. They pulled their mouths out as wide as they could with their thumbs and at the same time pulled their lower lids down with their index fingers till you could see the wet, pink membrane inside. It was an unnerving spectacle.""Skinhead"" and ""Chrome-dome"" and ""Curly"" they called at him, till finally the old man had enough. He made a few passes at them, muttered a few words, and within seconds a couple of she-bears lumbered out from the trees behind the picnic tables and mauled some of the slower members of the troop rather badly.It is not the most edifying story in the Old Testament, but there are perhaps some lessons to be learned from it even so. The Lord does not call everyone to be Mister Rogers, for instance, and there is no need to try making a fool out of a prophet, because sooner or later he will probably make one out of himself. It is not the most edifying story about Elisha either, but it is perhaps one of the more endearing.2 Kings 2:23-25 ~originally published in Peculiar Treasures and later in Beyond Words  ", quote-elisha  
10/19/2016, Enemy  ," Cain hated Abel for standing higher in God's esteem than he felt he himself did, so he killed him. King Saul hated David for stealing the hearts of the people with his winning ways and. tried to kill him every chance he got. Saul of Tarsus hated the followers of Jesus because he thought they were blasphemers and heretics and made a career of rounding them up so they could be stoned to death like Stephen. By and large most of us don't have enemies like that anymore, and in a way it's a pity.It would be pleasant to think it's because we're more civilized nowadays, but maybe it's only because we're less honest, open, brave. We tend to avoid fiery outbursts for fear of what they may touch off both in ourselves and the ones we burst out at. We smolder instead. If people hurt us or cheat us or stand for things we abominate, we're less apt to bear arms against them than to bear grudges. We stay out of their way. When we declare war, it is mostly submarine warfare, and since our attacks are beneath the surface, it may be years before we know fully the damage we have either given or sustained.Jesus says we are to love our enemies and pray for them, meaning love not in an emotional sense but in the sense of willing their good, which is the sense in which we love ourselves. It is a tall order even so. African Americans love white supremacists? The longtime employee who is laid off just before he qualifies for retirement with a pension love the people who call him in to break the news? The mother of the molested child love the molester? But when you see as clearly as that who your enemies are, at least you see your enemies clearly too.You see the lines in their faces and the way they walk when they're tired. You see who their husbands and wives are, maybe. You see where they're vulnerable. You see where they're scared. Seeing what is hateful about them, you may catch a glimpse also of where the hatefulness comes from. Seeing the hurt they cause you, you may see also the hurt they cause themselves. You're still light-years away from loving them, to be sure, but at least you see how they are human even as you are human, and that is at least a step in the right. direction. It's possible that you may even get to where you can pray for them a little, if only that God forgive them because you yourself can't, but any prayer for them at all is a major breakthrough.In the long run, it may be easier to love the ones we look in the eye and hate, the enemies, than the ones whom'because we're as afraid of ourselves as we are of them'we choose not to look at, at all.. ~originally published in Whistling in the Dark and later in Beyond Words.  ", quote-enemy  
10/18/2016, Environment  ," It's too bad that such a poor word has come to refer to something so rich. The forests, the rivers, the mountains, the oceans, the deserts, the beaches, the fields, the flowers, the rain, the sky, the air. To speak of them collectively as the environment is to suggest that they are somehow lifeless and abstract. It makes it almost possible to forget that what we are in danger of ruining through our rapacity and folly is the mother who bore us and the green grave that awaits us. Is our hearts' delight. Is home. ~originally published in Wishful Thinking and later in Beyond Words  ", quote-environment  
10/17/2016, Envy  , Envy is the consuming desire to have everybody else be as unsuccessful as you are. - originally published in Wishful Thinking and later in Beyond Words  , quote-envy  
10/16/2016, Esau  ," Esau was so hungry he could hardly see straight when his younger twin, Jacob, bought his birthright for a bowl of chili. He was off hunting rabbits when Jacob conned their old father, Isaac, into giving him the blessing that should have been Esau's by right of primogeniture. Eventually it dawned on Esau what his brother was up to, and he went slogging after him with a blunt instrument; but the slowness of his wits was compensated for by the generosity of his disposition, and in time the two were reconciled.Jacob stole Esau blind, in other words, got away with it, and went on to become the father of the twelve tribes of Israel. It was not all gravy, however. He knew famine and loss. He grieved for years over the supposed death of his favorite child. He was as hoodwinked by his own sons in this as both his father and Esau had been hoodwinked by him, and he died with the clamor of their squabbling shrill in his ears.Esau, on the other hand, though he'd lost his shirt, settled down in the hill country, raised a large if comparatively undistinguished family, and died in peace. Thus it seems hard to know which of the two brothers came out ahead in the end.It seems plain enough, however, that the reason God bypassed Esau and made Jacob heir to the great promise is that it is easier to make a silk purse out of a sow's ear than out of a dim bulb. ~originally published in Peculiar Treasures and later in Beyond Words   ", quote-esau  
10/15/2016, Escapism  ," Religion has often been denounced as escapism, and it often is. To deny the prevalence of pain in the world and the perennial popularity of evil. To abdicate responsibility for them by assuming that God will take care of them very nicely on his own. To accept them as divine judgment upon the sins especially of other people. To dismiss them or to encourage others to dismiss them by stressing the promise of pie in the sky. To pretend like a Forest Lawn cosmetologist that there's no such thing as death. To maintain your faith by refusing to face any nasty fact that threatens it. These are all ways of escaping reality through religion and should be denounced right along with such other modes of escape as liquor, drugs, TV, or any simplistic optimism such as jingoism, right-wing evangelicalism, moralism, idealism, and so on, which assume that if everybody would only see it our way, evil would vanish and all would be sweetness and light.But the desire to escape is not always something to be denounced, as any prisoner or slave could tell you. Jesus said, ""If you continue in my word, you are truly my disciples, and you will know the truth, and the truth will make you free"" (John 8:31-32). Free from sin, he explained when they pressed him. Free from imprisonment within the narrow walls of your own not all that enlightened self-interest. Free from enslavement to your own shabbiest instincts, deceits, and self-deceptions. Freedom not from responsibility, but for it. Escape not from reality, but into it.The best moments we any of us have as human beings are those moments when for a little while it is possible to escape the squirrel cage of being me into the landscape of being us. ~originally published in Wishful Thinking and later in Beyond Words  ", quote-escapism  
10/14/2016, Eternal Life  ," When you are with somebody you love, you have little if any sense of the passage of time, and you also have, in the fullest sense of the phrase, a good time.When you are with God, you have something like the same experience. The biblical term for the experience is eternal life. Another is heaven.What does it mean to be ""with God""? It doesn't mean you have to be thinking about being with God, or feeling religious, or sitting in church, or saying your prayers, though it might mean any or all of these. It doesn't even mean you have to believe in God.To say that a person is ""with it"" is slang for saying that whether he's playing an electric guitar or just watching the clouds roll by, he's so caught up in what he's doing and so totally himself while he's doing it that there's none of him left over to be doing anything else with in the back of his head or out of the corner of his eye. It's slang for saying that the temperature where she is is about forty degrees hotter than the temperature where she is not, and that whatever it is everybody's looking for, she's found it, and that if she were a flag and they ran her up the mast, we'd all have to salute whether we liked it or not. And the chances are we'd like it.Being ""with it "" may not be the same as being with God, but it comes close.We think of eternal life, if we think of it at all, as what happens when life ends. We would do better to think of it as what happens when life begins.Saint Paul uses the phrase eternal life to describe the end and goal of the process of salvation. Elsewhere he writes the same thing in a remarkable sentence in which he says that the whole purpose of God's slogging around through the muck of history and of our own individual histories is somehow to prod us, jolly us, worry us, cajole us, and, if need be, bludgeon us into reaching ""maturity . . . the measure of the full stature of Christ"" (Ephesians 4:13).In other words, to live eternal life in the full and final sense is to be with God as Christ is with him, and with each other as Christ is with us. ~originally published in Wishful Thinking and later in Beyond Words  ", quote-eternal-life  
10/13/2016, Eternity  ," Eternity is not endless time or the opposite of time. It is the essence of time.If you spin a pinwheel fast enough, all its colors blend into a single color'white'which is the essence of all the colors of the spectrum combined.If you spin time fast enough, time-past, time-present, and time-to-come all blend into a single timelessness or eternity, which is the essence of all times combined.As human beings we know time as a passing of unrepeatable events in the course of which everything passes away'including ourselves. As human beings, we also know occasions when we stand outside the passing of events and glimpse their meaning. Sometimes an event occurs in our lives (a birth, a death, a marriage ' some event of unusual beauty, pain, joy) through which we catch a glimpse of what our lives are all about and maybe even what life itself is all about, and this glimpse of what ""it's all about"" involves not just the present, but the past and future too.Inhabitants of time that we are, we stand on such occasions with one foot in eternity. God, as Isaiah says (57:15), ""inhabiteth eternity,"" but stands with one foot in time. The part of time where he stands most particularly is Christ, and thus in Christ we catch a glimpse of what eternity is all about, what God is all about, and what we ourselves are all about too.. ~originally published in Wishful Thinking and later in Beyond Words.  ", quote-eternity  
10/12/2016, Ethiopian Eunuch  ," The name of the Ethiopian eunuch isn't given, but he was Secretary of the Treasury under Queen Candace of Ethiopia, and he had been to Jerusalem on a religious pilgrimage. It was on his way home that the high point of the trip occurred.He was cruising along in his chariot reading out loud to himself from the book of Isaiah when the apostle Philip happened to overhear him and asked if he understood what the words were all about. The eunuch said he could use some help on one passage in particular, and this was the passage:As a sheep led to the slaughter or a lamb before its shearers is dumb so he opens not his mouth. In his humiliation justice was denied him. Who can describe his generation? For his life is taken up from the earth.(Acts 8:32-33; compare Isaiah 53:7-8)Who in the world was Isaiah talking about? the eunuch wanted to know, and Philip said it was Jesus. Jesus was the one who was gentle as a sheep and innocent as a lamb. He was the one who had been unjustly humiliated and slaughtered and hadn't let out so much as a peep to save himself. As for describing his generation, his time, all you could say was that he belonged to all time and every generation because his life wasn't bound to the earth anymore. His life was everywhere, and any of us could live it for ourselves or let it live itself in us as easily as a fish circulates around in the water and the water circulates around in a fish.The way things happened, a pond turned up by the side of the road as they traveled along, and the eunuch asked why he shouldn't give the thing a try right then and there and let Philip baptize him in it. So Philip baptized him, and when that black and mutilated potentate bobbed back to the surface, he was so carried away he couldn't even speak. The sounds of his joy were like the sounds of a brook rattling over pebbles, and Philip never saw him again and never had to.Acts 8:26-39 ~originally published in Peculiar Treasures and later in Beyond Words  ", quote-ethiopian-eunuch  
10/11/2016, Eutychus  ," ""Sermonettes make Christianettes,"" the saying goes, so Saint Paul kept talking till midnight to make sure they all got the word. Then he thought of a few things he'd left out and went on a while longer. He was so caught up in his own eloquence that he didn't hear the bumblebee sounds that were emerging from a young man with his eyes more or less closed and his mouth more or less open who sat slumped over in the third-story window. It was only a woman's scream that alerted him to the fact that the boy had fallen asleep, and out, more or less simultaneously. When Paul asked his name, they told him it was Eutychus.Everybody thought Eutychus was dead, but Paul said he'd see about that. Then he went back upstairs where, after a snack, he ran over his major points once more just to make sure. When he finally left on the early bus, they found Eutychus sitting up in bed asking for two over light and a toasted English.This miraculous recovery, plus the fact that by then the saint was already well on his way to the next county, made them decide to throw a double celebration. Presumably somebody had the sense to suggest that this time they use the ground floor.Acts 20:9-12 ~originally published in Peculiar Treasures and later in Beyond Words  ", quote-eutychus  
10/10/2016, Eve  ," Like Adam, Eve spent the rest of her days convincing herself that it had all worked out for the best. Their new life didn't turn out to be as bad as had been predicted, and somehow their marriage weathered the change. If they had moments of terrible bitterness over what had happened, they had other moments when it became more of a bridge than an abyss between them and when the question of which of them was to blame got lost in the question of how both of them were to survive. One son died an ugly, senseless death, and another went through life as disfigured by remorse as by a cleft palate. But all in all things didn't go too badly. When the last child left home, it wasn't the easiest thing in the world to be alone again with a man who, after his third martini, might still lash out at her as a snake in the grass and a bad apple, but at least they still had their independence and their principles, which as nearly as she could remember were what they'd given everything up for. They stood, however grimly at times, on their own feet.It was only once in a while at night, just as she was going off to sleep with all her usual defenses down, that her mind drifted back to the days when, because there was nothing especially important to do, everything was especially important; when too good not to be true hadn't yet turned into too good to be true; when being alone was never the same as being lonely. Then sad and beautiful dreams overtook her, which she would wake up from homesick for a home she could no longer even name, to make something not quite love with a man whose face she could not quite see in the darkness at her side.Genesis 3:1-4:16 ~originally published in Peculiar Treasures and later in Beyond Words  ", quote-eve  
10/9/2016, Evil  ," ' God is all-powerful.' God is all-good.' Terrible things happen.You can reconcile any two of these propositions with each other, but you can't reconcile all three. The problem of evil is perhaps the greatest single problem for religious faith.There have been numerous theological and philosophical attempts to solve it, but when it comes down to the reality of evil itself, they are none of them worth much. When a child is raped and murdered, the parents are not apt to take much comfort from the explanation (better than most) that since God wants us to love him, we must be free to love or not to love and thus free to rape and murder a child if we take a notion to.Christian Science solves the problem of evil by saying that it does not exist except as an illusion of mortal mind. Buddhism solves it in terms of reincarnation and an inexorable law of cause and effect whereby the raped child is merely reaping the consequences of evil deeds she committed in another life.Christianity, on the other hand, ultimately offers no theoretical solution at all. It merely points to the cross and says that, practically speaking, there is no evil so dark and so obscene'not even this'but that God can turn it to good.. ~originally published in Wishful Thinking and later in Beyond Words.  ", quote-evil  
10/8/2016, Ezekiel  ," A popular view has it that what Ezekiel really saw were flying saucers.There were these gleaming wheels with spokes and rims and things that looked like eyes built into the rims, he said, and one minute they were resting on the ground, and the next minute they were shooting up into the sky. There were also these creatures who flew around with the wheels and made a noise like thunder or a. sonic boom, he said. Above them was this one creature in particular who looked humanoid, but was clearly not human and seemed to be wearing something like bronze or a space suit from the loins up and something like fire from the loins down.Then all of a sudden from way up in the air his voice came down, and all the other craft stopped shooting around and just hovered, and, to make a long story from outer space short, what the voice said was that if Israel didn't whip itself into some kind of shape, it would be curtains.Ezekiel didn't think he'd seen flying saucers, of course. He thought he'd seen the glory of God. And the close encounter he thought he'd had wasn't of the third kind, but of a different kind altogether. It wasn't a thirty-foot praying mantis he thought had given him the word, but the Almighty himself. So you pay your money and take your choice.In making that choice, however, you ought to take into consideration at least one other thing Ezekiel thought he saw. It was a boneyard. There were shinbones and arm bones and wishbones and collarbones and skulls enough to keep paleontologists busy indefinitely. What the voice said this time was for Ezekiel to speak the word of the Lord to this boneyard and then stand back. So he spoke it.The first thing that happened was a sound of rattling and clicking like the tide going out over a million pebble beaches as the bones started snapping back together again. The next thing that happened was a million reassembled skeletons pulling on skin like long winter underwear. The last thing that happened was the color coming back to a million pairs of cheeks and the spark to a million pairs of eyes and the breath of life to a million pairs of lungs.Then the voice asked Ezekiel to tell the Israelites that'with God in the wings'even though it would be curtains for sure the. way they were heading, the curtain that goes down when you bomb in New Haven is also the curtain that goes up on the marvelous new rewrite that hits Broadway like a ton of bricks.As far as is known, nobody's ever stepped out of a UFO and made a statement like that.Ezekiel 1-2.7; 37:1-14. ~originally published in Peculiar Treasures and later in Beyond Words.  ", quote-ezekiel  
10/7/2016, Faces  ," Faces, like everything else, can be looked at and not seen, Walking down a sidewalk at rush hour or attending the World Series, you're surrounded by thousands of them, but they might as well be balloons at a political rally for all you notice them individually. Here and there one of them may catch your eye for a moment, but in another moment you've forgotten it. They are without personalities, without histories. There is nothing to remember them by. They are anonymous strangers. As far as you are concerned, they simply don't matter. They are too much to take in.But the odds are that for at least one other person somewhere in the world, each of themeven the unlikeliestmatters enormously, or mattered enormously once, or someday, with any luck, will come to matter. The pimply boy with the beginnings of a mustache, the fat girl eating popcorn, the man with no upper teeth, the suntanned blonde with the disagreeable mouthif you set your mind to it, there's hardly a one of them you can't imagine somebody loving even, conceivably even yourself. If the fat girl were your kid sister, for instance. Or the pimply boy to grow up to be your father. Or the toothless man to have been your first great love. Each face you see has, or used to have, or may have yet, the powerout of all the other faces in creationto make at least some one other person's heart skip a beat just by turning up in an old photograph album, maybe, or appearing unexpectedly at the front door.Needless to say, it's easier to imagine it with some than with others. For all her good looks it's harder with the suntanned blonde than with the sweaty truck driver shooting a squirt of cut plug, but even with her you can probably manage it in the end. There's hardly a face coming at you down the supermarket aisle or up the subway escalator that you can't manage it with, given the right set of circumstances, the right pair of eyes. You can see even the bitter faces in terms of what probably made them that way. You can see even the hostile, ugly faces in terms of what they must have been once before the world got to them, what they might have become if they'd gotten the breaks.Every now and again, however, you come across faces that are too much for you. There are people it's impossible to imagine loving if only because they look so much as though they wouldn't let you even if you could. If there are faces of the blessed to be seen in this world, there are also faces of the damned. Maybe you can love them for precisely that reason then. Maybe you're the one who has to love them because nobody else ever has.In any case, the next time you find yourself in a crowd with nothing better to do, it's a game worth playing. ~originally published in Whistling in the Dark and later in Beyond Words  ", quote-faces  
10/6/2016, Faith  ," When God told Abraham, who was a hundred at the time, that at the age of ninety his wife, Sarah, was finally going to have a baby, Abraham came close to knocking himself out""fell on his face and laughed,"" as Genesis puts it (17:17). In another version of the story (18:8ff.), Sarah is hiding behind the door eavesdropping, and here it's Sarah herself who nearly splits a gutalthough when God asks her about it afterward, she denies it. ""No, but you did laugh,"" God says, thus having the last word as well as the first. God doesn't seem to hold their outbursts against them, however. On the contrary, God tells them the baby's going to be a boy and they are to name him Isaac. Isaac in Hebrew means ""laughter.""Why did the two old crocks laugh? They laughed because they knew only a fool would believe that a woman with one foot in the grave was soon going to have her other foot in the maternity ward. They laughed because God expected them to believe it anyway. They laughed because God seemed to believe it. They laughed because they half believed it themselves. They laughed because laughing felt better than crying. They laughed because if by some crazy chance it just happened to come true, they would really have something to laugh about, and in the meanwhile it helped keep them going.Faith is ""the assurance of things hoped for, the conviction of things not seen,"" says the Letter to the Hebrews (11:1). Faith is laughter at the promise of a child called Laughter.Faith is better understood as a verb than as a noun, as a process than as a possession. It is on-again-off-again rather than once-and-for-all. Faith is not being sure where you're going, but going anyway. A journey without maps. Paul Tillich said that doubt isn't the opposite of faith; it is an element of faith.I have faith that my friend is my friend. It is possible that all his motives are ulterior. It is possible that what he is secretly drawn to is not me, but my wife or my money. But there's something about the way I feel when he's around, about the way he looks me in the eye, about the way we can talk to each other without pretense and be silent together without embarrassment, that makes me willing to put my life in his hands, as I do each time I call him friend.I can't prove the friendship of my friend. When I experience it, I don't need to prove it. When I don't experience it, no proof will do. If I tried to put his friendship to the test somehow, the test itself would queer the friendship I was testing. So it is with the Godness of God.The five so-called proofs for the existence of God will never prove to unfaith that God exists. They are merely five ways of describing the existence of the God you have faith in already.Almost nothing that makes any real difference can be proved. I can prove the law of gravity by dropping a shoe out the window. I can prove that the world is round if I'm clever at that sort of thingthat the radio works, that light travels faster than sound. I cannot prove that life is better than death or love better than hate. I cannot prove the greatness of the great or the beauty of the beautiful. I cannot even prove my own free will; maybe my most heroic act, my truest love, my deepest thought are all just subtler versions of what happens when the doctor taps my knee with his little rubber hammer and my foot jumps.Faith can't prove a damned thing. Or a blessed thing either. ~originally published in Wishful Thinking and later in Beyond Words  ", quote-faith  
10/5/2016, Family  ," The human family. It's a good phrase, reminding us not only that we come from the same beginning and are headed toward the same conclusion, but that in the meantime our lives are elaborately and inescapably linked. A famine in one part of the world affects people in all parts of the world. An assassination in Dallas or Sarajevo affects everybody. No one is an island. It is well worth remembering.But families have a way of being islands notwithstanding'the Flanagans as distinct from the Schwartzes and the Schwartzes never to be confused with the Cherbonneaus or the Riondas. You think of a row of houses on a street. The same drama is going on in all of them'the human drama'but in each of them a unique drama is also going on. Though the wood walls are so thin you can hear a baby's cry through them, they are solid enough to keep out the world. If in the Schwartzes' house the baby dies'or grows up and gets married by the rambler roses in the backyard'all the other families on the street rally round and do what they can. But it is in the Schwartzes' house alone that what happens happens fully. With the best will in the world, nobody on the outside can know the richness and mystery of it, the foreshadowings of it deep in the past, the reverberations of it far in the future. With the best will in the world, nobody on the inside can make it known.It is not so much that things happen in a family as it is that the family is the things that happen in it. The family is continually becoming what becomes of it. It is every christening and every commencement, every falling in love, every fight, every departure and return. It is the moment at breakfast when for no apparent reason somebody gets up and leaves the table. It is the sound of the phone ringing in the middle of the night or the lying awake hours waiting for it to ring. It is the waves pounding the boardwalk to pieces and the undercurrents so deep beneath the surface that you're hardly aware of them.A family is a web so delicately woven that it takes almost nothing to set the whole thing shuddering or even to tear it to pieces. Yet. the thread it's woven of is as strong as anything on earth. Sixty years after his father's death, the old man can't bring himself to remember it, or to stop remembering. Even when the twenty-year-old daughter runs out and never comes back, she can hear the raised voices from downstairs as she's going to sleep a thousand miles away, and every year when the old birthdays or death days come by, she marks each of them as surely as she marks that the sun has gone under a cloud or the moon risen.It is within the fragile yet formidable walls of your own family that you learn, or do not learn, what the phrase. human family. means.. ~originally published in Whistling in the Dark and later in Beyond Words.  ", quote-family  
10/4/2016, Father  ," When a child is born, a father is born. A mother is born too, of course, but at least for her it's a gradual process. Body and soul, she has nine months to get used to what's happening. She becomes what's happening. But for even the best-prepared father, it happens all at once. On the other side of the plate-glass window, a nurse is holding up something roughly the size of a loaf of bread for him to see for the first time. Even if he should decide to abandon it forever ten minutes later, the memory will nag him to the grave. He has seen the creation of the world. It has his mark upon it. He has its mark upon him. Both marks are, for better or worse, indelible. All sons, like all daughters, are prodigals if they're smart. Assuming the old man doesn't run out on them first, they will run out on him if they are to survive, and if he's smart he won't put up too much of a fuss. A wise father sees all this coming, and maybe that's why he keeps his distance from the start. He must survive. too. Whether they ever find their way home again, none can say for sure, but it's the risk he must take if they're ever to find their way at all. In the meantime, the world tends to have a soft spot in its heart for lost children. Lost fathers have to fend for themselves.Even as the father lays down the law, he knows that someday his children will break it as they need to break it if ever they're to find something better than law to replace it. Until and unless that happens, there's no telling the scrapes they will get into trying to lose him and find themselves. Terrible blunders will be made'disappointments and failures, hurts and losses of every kind. And they'll keep making them even after they've found themselves too, of course, because growing up is a process that goes on and on. And every hard knock they ever get knocks the father even harder still, if that's possible, and if and when they finally come through more or less in one piece at the end, there's maybe no rejoicing greater than his in all creation.It has become so commonplace to speak of God as ""our Father"" that we forget what an extraordinary metaphor it once was.. ~originally published in Whistling in the Dark and later in Beyond Words.  ", Quote-father  
10/3/2016, Feet  ," ""How beautiful upon the mountains are the feet of him who brings good tidings,"" says Isaiah (52:7). Not how beautiful are the herald's lips, which proclaim the good tidings, or his eyes as he proclaims them, or even the good tidings themselves, but how beautiful are the. feet'the feet without which he could never have made it up into the mountains, without which the good tidings would never have been proclaimed at all.Who knows in what inspired way the heart, mind, or spirit of the herald came to receive the good tidings of peace and salvation. in the first place, but as to the question whether he would actually do something about them'put his money where his mouth was, his shoe leather where his inspiration was'his feet were the ones that finally had to decide. Maybe it is always so.When the disciples first came upon the risen Christ that Sunday morning of their confusion and terror, it wasn't his healing hands they touched or his teaching lips or his holy heart. Instead, it was those same ruined, tired dogs that had carried him to them three years earlier, when they were at their accounts and their nets, that had dragged him all the way from Galilee to Jerusalem, that had stumbled up the hill where what was to happen happened. ""They took hold of his. feet. and worshiped him,"" Matthew says (28:9; italics mine).Generally speaking, if you want to know who you really are, as distinct from who you like to think you are, keep an eye on where your feet take you.. ~originally published in Wishful Thinking and later in Beyond Words.  ", quote-feet  
10/2/2016, Felix  ," Felix was the governor of Cilicia. When Paul got into a knock-down drag-out with the Jerusalem Jews, Felix was the one that the Roman brass took him to in hopes of getting the matter settled once and for all. Paul's Roman passport entitled him to a Roman hearing, and Felix gave it to him. He seems to have listened sympathetically enough and to have had a fairly good understanding of both sides of the issue, since, on the one hand, he already knew about the Christian movement and, on the other, he had a Jewish wife. Under the pretext of awaiting further evidence, he then placed Paul in custody, but went out of the way to see to it that he was well taken care of. He could do what he wanted within reason, and his friends were allowed to supplement his rations from a kosher delicatessen.The trouble came during a second interview a couple of days later. Felix had summoned him to find out how much his release was worth to him in hard cash, but with his usual tact Paul insisted on discussing justice, self-control, and future judgment instead. ""Don't call me. I'll call you,"" Felix said and sent him back to the pokey. He dropped in on him there from time to time to pursue his original line of inquiry, but Paul never seemed to zero in on what he was after.With three squares a day, a roof over his head, and plenty of time to write letters, Paul had no major complaints apparently, and as long as Felix didn't spring him, the Jews had no major complaints either. As for Felix himself, after two years he retired on a handsome government pension, leaving the problem of what to do with Paul for his successor to worry about. Felix, of course, means ""the happy one"" in Latin, and if happiness consists of having your cake and eating it too, he was well named.Acts 23:26-24:27 ~originally published in Peculiar Treasures and later in Beyond Words  ", quote-felix  
10/1/2016, Female  ," ""God created humankind in God's own image, in the image of God he created them; male and female he created them"" (Genesis 1:27). In other words, the female as much as the male is a reflection of the Creator. They are created at the same time, and they are created equals. God blesses them and charges them together and gives the female, along with the male, dominion over the earth. In the next chapter, however, a different story is told. There God creates Adam first and only afterward, realizing that ""it is not good that the man should be alone,"" decides to make a helper for him, fashioning Eve out of one of Adam's ribs and calling her ""Woman, because she was taken out of Man"" (2:18-22).These two conflicting views of the female's role in the order of things scarcely need to be spelled out further, nor is it necessary to point out that, generally speaking, it is the second of them that has prevailed down through the centuries.Little by little women have turned things pretty much around. They vote. They get elected heads of state. They excel in arts and professions that were once for men only. Some of the stuffiest men's clubs accept them, as do virtually all of the most venerable men's colleges. They are increasingly successful in getting equal pay for equal jobs. Major denominations ordain them. It has been a long, slow exodus, but finally it seems to be paying off.Feminism can become another form of sexism. Knee-jerk feminists can match their macho counterparts in pig-headedness, aggressiveness, humorlessness, and bigotry. Their shrill voices can make the head ache. When they refuse to read King Lear because it's full of sexist language and bar males from their lectures and demonstrations because they're males, their efforts are apt to be counterproductive. But no matter.Prophets have always been strident and a little crazy. They've needed to be. The prophet Deborah wouldn't have beaten the tar out of the Canaanites by issuing directives from her living room any more than Moses would have gotten his people out of Egypt by writing letters to the New York Times. ~originally published in Whistling in the Dark and later in Beyond Words  ", quote-female  
9/30/2016, Fire  ," Fire has no shape or substance. You can't taste it or smell it or hear it. You can't touch it except at great risk. You can't weigh it or measure it or examine it with instruments. You can never grasp it in its fullness because it never stands still. Yet there is no mistaking its extraordinary power.The fire that sweeps through miles of forest like a terrible wind and the flickering candle that lights the old woman's way to bed. The burning logs on the subzero night that save the pipes from freezing and give summer dreams to the tabby dozing on the hearth. Even from millions of miles away, the conflagration of the sun that can turn green earth into desert and strike blind any who fail to lower their gaze before it. The power of fire to devastate and consume utterly. The power of fire to purify by leaving nothing in its wake but a scattering of ash that the wind blows away like mist.A pillar of fire was what led the children of Israel through the wilderness, and it was from a burning bush that God first spoke to Moses. There were tongues of fire leaping up from the disciples on the day of Pentecost. In John's apocalypse it is a lake of fire that the damned are cast into, and Faithful and True himself, he says, has eyes of fire as he sits astride his white horse.In the pages of Scripture, fire is holiness, and perhaps never more hauntingly than in the little charcoal fire that Jesus of Nazareth, newly risen from the dead, kindles for cooking his friends' breakfast on the beach at daybreak. ~originally published in Beyond Words  ", quote-fire  
